45112,识字一,44900
45114,第一单元,44900
45116,第二单元,44900
45152,第三单元,44900
45160,识字二,44900
45168,第四单元,44900
45176,第五单元,44900
45184,第六单元,44900
45119,第一单元,44901
45129,第二单元,44901
45140,第三单元,44901
45153,第四单元,44901
45161,第五单元,44901
45169,第六单元,44901
45177,第七单元,44901
45185,第八单元,44901
106788,1 准备课,3807
106792,2 位置,3807
3821,3 1～5的认识和加减法,3807
3822,4 认识图形（一）,3807
3824,5 6～10的认识和加减法,3807
3825,6 11～20各数的认识,3807
3826,7 认识钟表,3807
11644,8 20以内的进位加法,3807
96832,1. 认识图形（二）,3808
106736,2. 20以内的退位减法,3808
96834,3. 分类与整理,3808
106737,4. 100以内数的认识,3808
106738,5. 认识人民币,3808
106739,6. 100以内的加法和减法（一）,3808
96838,7. 找规律,3808
106803,1 长度单位,3809
3839,2 100以内的加法和减法（二）,3809
84370,3 角的初步认识,3809
3841,4 表内乘法（一）,3809
106818,5 观察物体（一）,3809
3843,6 表内乘法（二）,3809
106804,7 认识时间,3809
106820,8 数学广角——搭配（一）,3809
96820,1 数据收集整理,3810
106714,2 表内除法（一）,3810
96822,3 图形的运动（一）,3810
106715,4 表内除法（二）,3810
106716,5 混合运算,3810
96825,6 余数的除法,3810
106713,7 万以内数的认识,3810
96828,8 克和千克,3810
96829,9 数学广角——推理,3810
106834,1 时、分、秒,3811
106827,2 万以内的加法和减法（一）,3811
3857,3 测量,3811
3858,4 万以内的加法和减法（二）,3811
106828,5 倍的认识,3811
3862,6 多位数乘一位数,3811
106830,7 长方形和正方形,3811
106842,8 分数的初步认识,3811
106831,9 数学广角——集合,3811
3867,1 位置与方向（一）,3812
3868,2 除数是一位数的除法,3812
3869,3 复式统计表,3812
3870,4 两位数乘两位数,3812
3871,5 面积,3812
62681,6 年、月、日,3812
3872,7 小数的初步认识,3812
106760,8 数学广角——搭配,3812
3876,1 大数的认识,3813
84560,1亿有多大,3813
98995,2 公顷和平方千米,3813
3877,3 角的度量,3813
3878,4 三位数乘两位数,3813
3879,5 平行四边形和梯形,3813
3880,6 除数是两位数的除法,3813
104332,7 条形统计图,3813
3882,8 数学广角——优化,3813
3884,1 四则运算,3814
104333,2 观察物体（二）,3814
3886,3 运算定律,3814
3887,4 小数的意义和性质,3814
3888,5 三角形,3814
3889,6 小数的加法和减法,3814
104334,7 图形的运动（二）,3814
104335,8 平均数与条形统计图,3814
3891,9 数学广角 ——鸡兔同笼,3814
3893,1 小数乘法,3815
98998,2 位置,3815
3894,3 小数除法,3815
98999,4 可能性,3815
106859,掷一掷,3815
3896,5 简易方程,3815
3897,6 多边形的面积,3815
3899,7 数学广角——植树问题,3815
106860,8 总复习,3815
104365,1 观察物体（三）,3816
3902,2 因数与倍数,3816
3903,3 长方体和正方体,3816
3904,4 分数的意义和性质,3816
104367,5 图形的运动（三）,3816
3905,6 分数的加法和减法,3816
106267,7 折线统计图,3816
104369,8 数学广角-----找次品,3816
3910,1 分数乘法,3817
3909,2 位置与方向（二）,3817
3911,3 分数除法,3817
104288,4 比,3817
3912,5 圆,3817
104289,确定起跑线,3817
3913,6 百分数（一）,3817
3914,7 扇形统计图,3817
104290,节约用水,3817
3915,8 数学广角——数与形,3817
3917,1 负数,3818
104301,2 百分数（二）,3818
47499,3 圆柱与圆锥,3818
3922,4 比例,3818
3925,5 数学广角  （鸽巢问题）,3818
62688,6 整理与复习,3818
23162,一 快乐的校园---10以内数的认识,23088
23163,二 妈妈的小帮手---分类与比较,23088
23167,三 走进花果山---10以内数的加减法,23088
23176,四 有趣的游戏---认识位置,23088
23175,五 海鸥回来了---11-20各数的认识,23088
23171,六 谁的手儿巧---认识图形,23088
23180,七 小小运动会---20以内的进位加法,23088
104154,一 逛公园——20以内的退位减法,23089
23199,二 下雨了---认识钟表,23089
95636,三 丰收了——100以内数的认识,23089
23200,四 牧童---认识图形,23089
23202,五 绿色行动---100以内数的加减法(一),23089
23228,六 小小存钱罐---人民币的认识,23089
23229,七 大海边---100以内数的加减法(二),23089
23230,八 阿福的新衣--厘米、米的认识,23089
95637,九 我换牙了——统计,23089
100641,一 看魔术——乘法的初步认识,23090
23292,二 看杂技---表内乘法（一）,23090
23293,三 小制作---角的初步认识,23090
23294,四 凯蒂学艺---表内乘法（二）,23090
23295,五 森林里的故事---除法的初步认识,23090
94075,六 美丽的校园---认识方向,23090
48088,七 制作标本---表内除法,23090
104151,一 野营——有余数的除法,23091
95643,二 游览北京——万以内数的认识,23091
23302,三 甜甜的梦---毫米、分米、千米的认识,23091
23303,四 勤劳的小蜜蜂---万以内数的加减法（一）,23091
104152,五 谁的眼睛亮——观察物体,23091
95645,六 田园小卫士——万以内数的加减法（二）,23091
95644,七 爱心行动——图形与拼组,23091
104153,八 休闲假日——解决问题,23091
95649,九 我是体育小明星——数据的收集与整理（一）,23091
23282,一 动物趣闻---克、千克、吨的认识,23092
23283,二 快乐大课间---两位数乘一位数,23092
100643,三 富饶的大海---三位数乘一位数,23092
23284,四 走进新农村---位置与变换,23092
23285,五 风筝厂见闻---两、三位数除以一位数（一）,23092
100644,六 采摘节---混合运算,23092
100645,七 庆元旦---时、分、秒的认识,23092
23286,八 美化校园---图形的周长,23092
101483,九 我当小厨师---分数的初步认识,23092
24468,一 采访果蔬会--两、三位数除以一位数,23093
24469,二 热闹的民俗节----对称,23093
24470,三  美丽的街景---两位数乘以两位数,23093
106053,四 绿色生态园---解决问题,23093
24471,五  我家买新房子啦--长方形和正方形的面积,23093
24473,六  走进天文馆---年、月、日,23093
24474,七  家居中的学问---小数的初步认识,23093
106054,八 谁长得快---数据的收集与整理（二）,23093
24550,一 大数知多少——万以上数的认识,23094
100560,二 繁忙的工地----线和角,23094
24552,三 保护天鹅——三位数乘两位数,23094
24553,四 交通中的线——平行与相交,23094
24573,五 收获的季节——除数是两位数的除法,23094
100561,六 快捷的物流运输----解决问题,23094
100562,七 小小志愿者----混合运算,23094
24576,八 新校服——条形统计图,23094
106293,一 泰山古树---计算器,23095
106294,二 节能减排---用字母表示数,23095
106295,三 快乐农场---运算律,23095
106296,四 巧手小工匠---认识多边形,23095
106297,五 动物世界---小数的意义和性质,23095
106298,六 趣味拼搭---观察物体,23095
106299,七 奇异的克隆牛---小数加减法,23095
106300,八 我锻炼 我健康---平均数,23095
24619,一 今天我当家——小数乘法,23096
24620,二 图案美——对称、平移与旋转,23096
24621,三 游三峡——小数除法,23096
24623,四 走进动物园——简易方程,23096
24624,五 生活中的多边形——多边形的面积,23096
24626,六 团体操表演——因数与倍数,23096
24627,七 绿色家园——折线统计图,23096
122154,一 中国的热极--认识负数,23097
122155,二 校园艺术节--分数的意义和性质,23097
122156,三 剪纸中的数学--分数加减法（一）,23097
48095,四 走进军营——方向与位置,23097
122157,五 关注环境--分数加减法（二）,23097
122158,六 爱护眼睛--复式统计图,23097
122159,七 包装盒--长方体和正方体,23097
24711,一 小手艺展示——分数乘法,23098
24719,二 摸球游戏——可能性,23098
24712,三 布艺兴趣小组——分数除法,23098
24713,四 人体的奥秘——比,23098
24715,五 完美的图形——圆,23098
24716,六 中国的世界遗产——分数四则混合运算,23098
100648,七 体检中的百分数——百分数（一）,23098
99829,一 欢乐农家游——百分数（二）,23099
24685,二 冰淇淋盒有多大——圆柱和圆锥,23099
24687,三 啤酒生产中的数学——比例,23099
24688,四 快乐足球——比例尺,23099
24690,五 奥运奖牌——统计,23099
23335,可爱的校园,23314
23326,一 生活中的数,23314
23327,二 比较,23314
23328,三 加与减（一）,23314
23329,四 分类,23314
23330,五 位置与顺序,23314
23331,六 认识图形,23314
23332,七 加与减（二）,23314
23333,八 认识钟表,23314
78044,一 加与减（一）,78043
78045,二 观察物体,78043
78046,三 生活中的数,78043
78047,四 有趣的图形,78043
78048,五 加与减（二）,78043
110341,数学好玩,78043
78049,六 加与减（三）,78043
93045,一 加与减,23316
93051,二 购物,23316
23418,三 数一数与乘法,23316
93062,四 图形的变化,23316
23419,五 2~5的乘法口诀,23316
93080,六 测量,23316
23421,七 分一分与除法,23316
23424,八 6~9的乘法口诀,23316
93091,数学好玩,23316
23425,九 除法,23316
110286,一 除法,23317
110287,二 方向与位置,23317
110288,三 生活中的大数,23317
110289,四 测量,23317
110291,五 加与减,23317
110292,六 认识图形,23317
110293,七 时、分、秒,23317
110295,八 调查与记录,23317
100118,一 混合运算,23318
23520,二 观察物体,23318
100119,三 加与减,23318
100120,四 乘与除,23318
23523,五 周长,23318
23522,六 乘法,23318
23525,七 年、月、日,23318
101070,数学好玩,23318
100121,八 认识小数,23318
99834,一 除法,23319
99835,二 图形的运动,23319
99836,三 乘法,23319
99837,四 千克、克、吨,23319
99838,五 面积,23319
103385,数学好玩,23319
99839,六 认识分数,23319
99840,七 数据的整理和表示,23319
23593,一 认识更大的数,23320
23594,二 线与角,23320
23595,三 乘法,23320
100553,四 运算律,23320
23598,五 方向与位置,23320
23597,六 除法,23320
23599,七 生活中的负数,23320
101073,数学好玩,23320
23600,八 可能性,23320
99842,一 小数的意义和加减法,23321
99843,二 认识三角形和四边形,23321
99844,三 小数乘法,23321
99845,四 观察物体,23321
99846,五 认识方程,23321
99847,六 数据的表示和分析,23321
100555,一  小数除法,23322
100556,二  轴对称和平移,23322
23683,三 倍数与因数,23322
100557,四  多边形的面积,23322
23685,五 分数的意义,23322
100558,六 组合图形的面积,23322
101071,数学好玩,23322
23690,七 可能性,23322
103713,一 分数加减法,23323
23729,二 长方体（一）,23323
23728,三 分数乘法,23323
23732,四 长方体（二）,23323
23730,五 分数除法,23323
103714,六 确定位置,23323
103715,七 用方程解决问题,23323
103716,八 数据的表示和分析,23323
23769,一 圆,23324
100620,二 分数的混合运算,23324
23777,三 观察物体,23324
100621,四 百分数,23324
100622,五  数据处理,23324
23774,六 比的认识,23324
101072,数学好玩,23324
23770,七 百分数的应用,23324
23811,一 圆柱和圆锥,23325
103701,二 比例,23325
103707,三 图形的运动,23325
23812,四 比例和反比例,23325
106537,总复习,23325
25601,第一单元《数一数》,25572
25602,第二单元《比一比》,25572
25603,第三单元《分一分》,25572
25604,第四单元《认位置》,25572
25605,第五单元 《认识10以内的数》,25572
25606,第六单元  《认识图形（一）》,25572
77679,有趣的拼搭,25572
25607,第七单元《分与合》,25572
